,sentiment_score,open_change+1,open_change+2,open_change+3,open_change+4,open_change+5
0,0.3595,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
1,0.8172,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
2,-0.2023,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
3,0.8313,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
4,0.0,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
5,-0.3612,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
6,0.5574,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
7,-0.5267,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
8,0.6458,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
9,0.0,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
10,-0.5574,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
11,0.5106,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
12,0.6816,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
13,0.0,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
14,0.8882,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
15,0.7739,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
16,0.0,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
17,-0.7481,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
18,0.128,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
19,0.5106,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
20,0.0,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
21,0.5859,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994,-1.760009999999994
